"Country (ISO 3166-1)",Place,Lattitude,Longitude,"Radiation January","Radiation February","Radiation March","Radiation April","Radiation May","Radiation June","Radiation July","Radiation August","Radiation September","Radiation October","Radiation November","Radiation December"
CH,Basel,47.55,7.58,3.60,6.06,10.27,14.79,17.61,20.26,19.89,16.78,12.42,7.72,4.09,2.67
CH,Corvatsch,46.42,9.82,7.29,11.31,16.95,21.74,23.46,22.81,21.45,17.89,15.17,11.72,7.46,5.75
CH,Davos,46.82,9.85,5.99,9.41,14.31,18.13,19.64,20.79,19.93,17.25,13.92,10.08,6.14,4.67
CH,Geneve,46.25,6.13,3.76,6.94,11.92,16.28,19.10,21.96,21.33,18.03,13.70,8.25,4.55,2.94
CH,Jungfraujoch,46.55,7.98,6.45,9.82,15.25,19.50,22.18,23.98,21.95,19.63,15.95,11.00,6.65,4.99
CH,"La Dole",46.43,6.10,5.51,8.15,12.35,15.62,16.88,19.25,18.82,16.20,12.92,9.19,5.76,4.24
CH,"Locarno - Monti",46.17,8.78,5.51,8.76,13.48,16.26,18.77,21.84,21.95,18.84,14.00,8.93,5.37,4.41
CH,Payerne,46.82,6.95,3.66,6.67,11.19,15.50,18.52,21.32,20.61,17.30,13.06,7.68,4.27,2.88
CH,Säntis,47.25,9.35,5.71,8.52,13.08,18.14,20.23,20.25,18.25,15.81,13.28,9.78,5.98,4.54
CH,"Zürich - Kloten",47.48,8.53,3.45,6.34,10.61,15.21,17.62,18.93,18.94,16.36,12.19,7.11,3.88,2.60
